00-Cfg,00-Index,01-Date,02-Open,03-Low,04-High,05-Close,06-Buy,07-Sell,08-Profit,09-Actual,10-Prediction,11-Pred_Result,12-Deal
,, 2016/10/18,2189.93,2189.93,2224.34,2222.78,0.0,0.0,0.0,2230.83,2240.638916015625,,
,, 2016/10/19,2222.78,2217.63,2230.83,2221.53,0.0,0.0,0.0,2228.94,2240.21875,,
,, 2016/10/20,2222.63,2218.97,2228.94,2223.42,0.0,0.0,0.0,2246.58,2236.3447265625,,
,, 2016/10/21,2221.38,2221.04,2246.58,2240.75,0.0,0.0,0.0,2285.08,2263.574951171875,,
,, 2016/10/24,2245.46,2243.81,2285.08,2270.95,0.0,0.0,0.0,2274.38,2300.503662109375,,
,, 2016/10/25,2270.02,2258.92,2274.38,2266.17,0.0,0.0,0.0,2266.88,2284.853515625,,
,, 2016/10/26,2263.69,2254.63,2266.88,2257.12,0.0,0.0,0.0,2256.21,2273.30224609375,,
,, 2016/10/27,2254.32,2243.63,2256.21,2250.26,0.0,0.0,0.0,2271.91,2266.451416015625,,
,, 2016/10/28,2252.38,2249.49,2271.91,2253.8,0.0,0.0,0.0,2253.8,2274.50439453125,,
,, 2016/10/31,2247.99,2236.2,2253.8,2250.47,0.0,0.0,0.0,2263.62,2264.44384765625,,
,, 2016/11/01,2250.49,2246.95,2263.62,2263.48,0.0,0.0,0.0,2259.19,2278.103515625,,
,, 2016/11/02,2256.12,2242.77,2259.19,2244.74,0.0,0.0,0.0,2283.25,2259.396728515625,,
,, 2016/11/03,2241.44,2239.87,2283.25,2273.63,0.0,0.0,0.0,2284.95,2295.2666015625,,
,, 2016/11/04,2271.85,2266.92,2284.95,2271.93,0.0,0.0,0.0,2279.55,2296.32275390625,,
,, 2016/11/07,2271.96,2265.36,2279.55,2276.95,0.0,0.0,0.0,2294.62,2293.212890625,,
,, 2016/11/08,2284.01,2276.74,2294.62,2282.42,0.0,0.0,0.0,2281.59,2304.573486328125,,
,, 2016/11/09,2281.12,2244.43,2281.59,2263.92,0.0,0.0,0.0,2297.97,2282.48681640625,,
,, 2016/11/10,2279.94,2279.94,2297.97,2289.45,0.0,0.0,0.0,2315.96,2313.447021484375,,
,, 2016/11/11,2285.61,2284.29,2315.96,2308.43,0.0,0.0,0.0,2338.58,2340.752197265625,,
,, 2016/11/14,2304.61,2303.97,2338.58,2317.77,0.0,0.0,0.0,2319.07,2352.908203125,,
,, 2016/11/15,2315.8,2306.23,2319.07,2310.9,0.0,0.0,0.0,2314.85,2328.356689453125,,
,, 2016/11/16,2312.5,2302.14,2314.85,2309.94,0.0,0.0,0.0,2317.54,2330.4716796875,,
,, 2016/11/17,2306.41,2297.74,2317.54,2316.72,0.0,0.0,0.0,2323.72,2338.81787109375,,
,, 2016/11/18,2318.9,2304.55,2323.72,2307.27,0.0,0.0,0.0,2350.75,2327.025634765625,,
,, 2016/11/21,2304.77,2304.77,2350.75,2334.68,0.0,0.0,0.0,2357.57,2364.583740234375,,
,, 2016/11/22,2334.68,2334.68,2357.57,2353.0,0.0,0.0,0.0,2375.81,2389.46240234375,,
,, 2016/11/23,2355.32,2352.4,2375.81,2360.34,0.0,0.0,0.0,2382.95,2391.9560546875,,
,, 2016/11/24,2356.85,2355.8,2382.95,2368.73,0.0,0.0,0.0,2394.71,2389.7216796875,,
,, 2016/11/25,2371.7,2358.26,2394.71,2393.95,0.0,0.0,0.0,2427.59,2423.019775390625,,
,, 2016/11/28,2406.7,2398.41,2427.59,2403.14,0.0,0.0,0.0,2455.43,2438.169677734375,,
,, 2016/11/29,2398.67,2395.81,2455.43,2441.58,0.0,0.0,0.0,2444.95,2481.35546875,,
,, 2016/11/30,2435.81,2411.56,2444.95,2419.41,0.0,0.0,0.0,2448.67,2458.950439453125,,
,, 2016/12/01,2421.93,2417.96,2448.67,2431.31,0.0,0.0,0.0,2430.83,2479.277587890625,,
,, 2016/12/02,2427.17,2401.06,2430.83,2416.51,0.0,0.0,0.0,2386.43,2443.903564453125,,
,, 2016/12/05,2378.21,2363.13,2386.43,2375.26,0.0,0.0,0.0,2382.2,2403.200927734375,,
,, 2016/12/06,2371.11,2367.0,2382.2,2368.68,0.0,0.0,0.0,2377.3,2389.78076171875,,
,, 2016/12/07,2367.42,2358.87,2377.3,2376.92,0.0,0.0,0.0,2387.17,2399.099853515625,,
,, 2016/12/08,2380.66,2374.47,2387.17,2379.0,0.0,0.0,0.0,2422.78,2402.431396484375,,
,, 2016/12/09,2374.3,2372.46,2422.78,2411.31,0.0,0.0,0.0,2423.39,2441.903564453125,,
,, 2016/12/12,2408.09,2362.14,2423.39,2387.16,0.0,0.0,0.0,2382.44,2414.3544921875,,
,, 2016/12/13,2373.79,2357.46,2382.44,2372.93,0.0,0.0,0.0,2384.56,2399.068603515625,,
,, 2016/12/14,2369.5,2359.72,2384.56,2360.38,0.0,0.0,0.0,2354.35,2391.14013671875,,
,, 2016/12/15,2346.77,2302.43,2354.35,2309.82,0.0,0.0,0.0,2315.54,2332.072021484375,,
,, 2016/12/16,2302.87,2298.43,2315.54,2302.32,0.0,0.0,0.0,2303.69,2327.04150390625,,
,, 2016/12/19,2299.71,2288.3,2303.69,2291.38,0.0,0.0,0.0,2295.11,2312.944091796875,,
,, 2016/12/20,2293.4,2262.88,2295.11,2279.68,0.0,0.0,0.0,2304.6,2298.9443359375,,
,, 2016/12/21,2282.12,2282.0,2304.6,2297.37,0.0,0.0,0.0,2298.19,2321.674072265625,,
,, 2016/12/22,2293.35,2280.79,2298.19,2292.04,0.0,0.0,0.0,2291.72,2312.88037109375,,
,, 2016/12/23,2290.25,2271.13,2291.72,2278.48,0.0,0.0,0.0,2295.69,2299.460693359375,,
,, 2016/12/26,2266.38,2251.71,2295.69,2294.71,0.0,0.0,0.0,2300.16,2313.044189453125,,
,, 2016/12/27,2291.23,2286.43,2300.16,2286.96,0.0,0.0,0.0,2289.81,2306.194580078125,,
,, 2016/12/28,2286.41,2269.16,2289.81,2277.18,0.0,0.0,0.0,2282.19,2294.628173828125,,
,, 2016/12/29,2273.22,2265.89,2282.19,2275.11,0.0,0.0,0.0,2286.99,2293.08447265625,,
,, 2016/12/30,2276.81,2272.5,2286.99,2286.9,0.0,0.0,0.0,2311.29,2304.456787109375,,
,, 2017/01/03,2285.27,2285.27,2311.29,2307.89,0.0,0.0,0.0,2324.56,2326.014892578125,,
,, 2017/01/04,2305.91,2304.17,2324.56,2322.21,0.0,0.0,0.0,2326.18,2340.26220703125,,
,, 2017/01/05,2322.42,2317.89,2326.18,2322.68,0.0,0.0,0.0,2326.43,2339.915771484375,,
