volume,volume_size,volume_used_size,fs_type,file_count,total_memory,free_memory,shared_memory,cached_memory,cpu_count,average_cpu_usage_on_previous_one_minute,average_cpu_usage_on_previous_five_minute,average_cpu_usage_on_previous_fifteen_minute,num_extents,num_bytes_read,num_bytes_write,square_sum_head_move,square_sum_read,backup_elapsed_time
/lvm/fsa-5G-ext4,5029504,2853752,3,49,3881340,2941300,17500,773624,2,0.98,1.14,1.84,14,11534336,3203399680,207618048,274726912,41812
/lvm/fsa-100G-ext3,103081248,8871820,2,178,3881340,892912,17464,2823228,2,14.25,6.73,2.76,6064,12699303936,12699303936,4.06216E+11,4.06283E+11,95359803
/lvm/fsa-100G-ext3,103081248,8871820,2,178,3881340,2602388,17476,1106604,2,2.68,6.35,3.64,14,11534336,12699303936,207618048,274726912,47282
/lvm/fsa-100G-ext4,103080888,3934676,3,83,3881340,2604032,17476,1107000,2,2.46,6.24,3.62,2877,6015680512,6015680512,1.9234E+11,1.92407E+11,43419725
/lvm/fsa-100G-ext4,103080888,3934676,3,83,3881340,2606172,17476,1106064,2,1.69,5.51,3.5,14,11534336,6015680512,207618048,274726912,44910
/lvm/fsa-10G-ext3,10190136,7292716,2,11,3881340,2603952,17476,1106172,2,1.71,5.45,3.49,3893,8146386944,8146386944,2.60523E+11,2.6059E+11,69893003
/lvm/fsa-10G-ext3,10190136,7292716,2,11,3881340,2608300,17476,1105988,2,1.2,4.46,3.29,14,11534336,8146386944,207618048,274726912,38767
/lvm/fsa-10G-ext4,10190100,5855280,3,100,3881340,2605628,17464,1106124,2,1.2,4.46,3.29,3067,6414139392,6414139392,2.05091E+11,2.05158E+11,66241479
/lvm/fsa-10G-ext4,10190100,5855280,3,100,3881340,2607200,17464,1105984,2,0.96,3.7,3.11,14,11534336,6414139392,207618048,274726912,37447
/lvm/fsa-1G-ext3,999320,813708,2,5,3881340,2605440,17464,1106160,2,0.88,3.64,3.1,480,988807168,988807168,31480348672,31547457536,7298177
/lvm/fsa-1G-ext3,999320,813708,2,5,3881340,2608020,17464,1106072,2,0.9,3.55,3.07,14,11534336,988807168,207618048,274726912,36414
/lvm/fsa-1G-ext4,999320,709812,3,9,3881340,2605700,17476,1106388,2,0.83,3.49,3.06,390,800063488,800063488,25440550912,25507659776,8766752
/lvm/fsa-1G-ext4,999320,709812,3,9,3881340,2607972,17476,1106512,2,0.86,3.41,3.03,14,11534336,800063488,207618048,274726912,37545
/lvm/fsa-20G-ext3,20511356,10470324,2,194,3881340,2605624,17476,1106508,2,0.79,3.35,3.02,6407,13418627072,13418627072,4.29235E+11,4.29302E+11,116663722
/lvm/fsa-20G-ext3,20511356,10470324,2,194,3881340,2605720,17464,1106208,2,1,2.59,2.78,14,11534336,13418627072,207618048,274726912,54849
/lvm/fsa-20G-ext4,20511312,10383664,3,189,3881340,2604716,17464,1106108,2,0.92,2.54,2.76,5338,11176771584,11176771584,3.57495E+11,3.57562E+11,106194714
/lvm/fsa-20G-ext4,20511312,10383664,3,189,3881340,2606048,17432,1106680,2,1.01,2.08,2.57,14,11534336,11176771584,207618048,274726912,75535
/lvm/fsa-2G-ext3,1998672,1254108,2,24,3881340,2606508,17432,1106844,2,1.01,2.08,2.57,763,1582301184,1582301184,50472157184,50539266048,16388391
/lvm/fsa-2G-ext3,1998672,1254108,2,24,3881340,2609084,17432,1106856,2,0.94,1.99,2.53,14,11534336,1582301184,207618048,274726912,37480
/lvm/fsa-2G-ext4,1998672,1518312,3,20,3881340,2606432,17444,1106876,2,0.95,1.98,2.52,822,1706033152,1706033152,54431580160,54498689024,20167463
/lvm/fsa-2G-ext4,1998672,1518312,3,20,3881340,2600848,17436,1114724,2,0.96,1.91,2.49,14,11534336,1706033152,207618048,274726912,37724
/lvm/fsa-50G-ext3,51475068,4885688,2,97,3881340,2598028,17444,1114800,2,0.89,1.88,2.48,3772,7892631552,7892631552,2.52403E+11,2.5247E+11,70622100
/lvm/fsa-50G-ext3,51475068,4885688,2,97,3881340,2608092,17444,1106532,2,0.99,1.7,2.37,14,11534336,7892631552,207618048,274726912,47701
/lvm/fsa-50G-ext4,51474912,10098324,3,200,3881340,2606436,17444,1106508,2,0.99,1.69,2.36,5457,11426332672,11426332672,3.65481E+11,3.65548E+11,96286024
/lvm/fsa-50G-ext4,51474912,10098324,3,200,3881340,2606904,17432,1106912,2,1.01,1.51,2.23,14,11534336,11426332672,207618048,274726912,41751
/lvm/fsa-5G-ext3,5029504,3017704,2,53,3881340,2604820,17444,1107344,2,1.09,1.52,2.23,1897,3960471552,3960471552,1.26574E+11,1.26641E+11,35292557
/lvm/fsa-5G-ext3,5029504,3017704,2,53,3881340,2599684,17432,1114408,2,1.06,1.46,2.18,14,11534336,3960471552,207618048,274726912,37070
/lvm/fsa-5G-ext4,5029504,2993364,3,49,3881340,2597592,17444,1114724,2,1.06,1.46,2.18,1604,3346006016,3346006016,1.06911E+11,1.06978E+11,33833607
/lvm/fsa-5G-ext4,5029504,2993364,3,49,3881340,2607132,17444,1106220,2,0.98,1.39,2.12,14,11534336,3346006016,207618048,274726912,35992
/lvm/fsa-100G-ext3,103081248,8871820,2,178,3881340,531332,17432,3187720,2,7.87,6.66,4.24,6064,12699303936,12699303936,4.06216E+11,4.06283E+11,91888708
/lvm/fsa-100G-ext3,103081248,8871820,2,178,3881340,2234372,17432,1478420,2,1.88,4.86,3.98,14,11534336,12699303936,207618048,274726912,53914
/lvm/fsa-100G-ext4,103080888,3934676,3,83,3881340,2234996,17444,1478504,2,1.81,4.79,3.97,2877,6015680512,6015680512,1.9234E+11,1.92407E+11,45053810
/lvm/fsa-100G-ext4,103080888,3934676,3,83,3881340,2234972,17444,1478320,2,1.29,4.19,3.81,14,11534336,6015680512,207618048,274726912,36842
/lvm/fsa-10G-ext3,10190136,7655564,2,11,3881340,2233532,17444,1478300,2,1.29,4.19,3.81,4078,8534360064,8534360064,2.72938E+11,2.73005E+11,72549306
/lvm/fsa-10G-ext3,10190136,7655564,2,11,3881340,2234380,17444,1478504,2,1.02,3.41,3.56,14,11534336,8534360064,207618048,274726912,37282
/lvm/fsa-10G-ext4,10190100,6135488,3,100,3881340,2230552,17444,1478384,2,1.02,3.41,3.56,3202,6697254912,6697254912,2.14151E+11,2.14218E+11,70955598
/lvm/fsa-10G-ext4,10190100,6135488,3,100,3881340,2233812,17436,1478336,2,0.94,2.85,3.36,14,11534336,6697254912,207618048,274726912,37418
/lvm/fsa-1G-ext3,999320,894940,2,5,3881340,2232472,17432,1478568,2,0.86,2.8,3.34,508,1047527424,1047527424,33359396864,33426505728,7488489
/lvm/fsa-1G-ext3,999320,894940,2,5,3881340,2234836,17432,1478656,2,0.88,2.74,3.31,14,11534336,1047527424,207618048,274726912,29986
/lvm/fsa-1G-ext4,999320,780528,3,9,3881340,2232896,17444,1478864,2,0.97,2.73,3.31,425,873463808,873463808,27789361152,27856470016,9907604
/lvm/fsa-1G-ext4,999320,780528,3,9,3881340,2234984,17432,1478748,2,0.98,2.67,3.28,14,11534336,873463808,207618048,274726912,37409
/lvm/fsa-20G-ext3,20511356,10668840,2,194,3881340,2230604,17444,1478692,2,0.9,2.63,3.26,6688,14007926784,14007926784,4.48092E+11,4.48159E+11,116077965
/lvm/fsa-20G-ext3,20511356,10668840,2,194,3881340,2231768,17444,1478264,2,0.8,2.04,2.97,14,11534336,14007926784,207618048,274726912,48809
/lvm/fsa-20G-ext4,20511312,10580276,3,189,3881340,2229736,17444,1478340,2,0.81,2.03,2.96,5428,11365515264,11365515264,3.63535E+11,3.63602E+11,104420000
/lvm/fsa-20G-ext4,20511312,10580276,3,189,3881340,2230852,17432,1478580,2,0.97,1.72,2.75,14,11534336,11365515264,207618048,274726912,36556
/lvm/fsa-2G-ext3,1998672,1301088,2,24,3881340,2230808,17444,1478748,2,0.97,1.71,2.74,795,1649410048,1649410048,52619640832,52686749696,19162176
/lvm/fsa-2G-ext3,1998672,1301088,2,24,3881340,2232444,17444,1478640,2,0.98,1.66,2.71,14,11534336,1649410048,207618048,274726912,38430
/lvm/fsa-2G-ext4,1998672,1669516,3,20,3881340,2230564,17432,1478696,2,0.98,1.65,2.7,894,1857028096,1857028096,59263418368,59330527232,21255584
/lvm/fsa-2G-ext4,1998672,1669516,3,20,3881340,2232544,17432,1478828,2,0.99,1.6,2.65,14,11534336,1857028096,207618048,274726912,71910
/lvm/fsa-50G-ext3,51475068,4977692,2,97,3881340,2228596,17444,1478860,2,1.07,1.61,2.65,3917,8196718592,8196718592,2.62134E+11,2.62201E+11,72473100
/lvm/fsa-50G-ext3,51475068,4977692,2,97,3881340,2232980,17444,1478508,2,1.02,1.47,2.52,14,11534336,8196718592,207618048,274726912,53670
/lvm/fsa-50G-ext4,51474912,10287936,3,200,3881340,2230552,17432,1478684,2,0.94,1.45,2.51,5545,11610882048,11610882048,3.71387E+11,3.71454E+11,101401044
/lvm/fsa-50G-ext4,51474912,10287936,3,200,3881340,2230336,17444,1479184,2,1.01,1.33,2.35,14,11534336,11610882048,207618048,274726912,36112
/lvm/fsa-5G-ext3,5029504,3165660,2,53,3881340,2229564,17444,1479048,2,1.01,1.33,2.35,2003,4182769664,4182769664,1.33687E+11,1.33754E+11,35927127
/lvm/fsa-5G-ext3,5029504,3165660,2,53,3881340,2231668,17444,1478668,2,1,1.29,2.29,14,11534336,4182769664,207618048,274726912,37211
/lvm/fsa-5G-ext4,5029504,3139868,3,49,3881340,2229944,17432,1478624,2,1.08,1.3,2.29,1677,3499098112,3499098112,1.1181E+11,1.11877E+11,34657180
/lvm/fsa-5G-ext4,5029504,3139868,3,49,3881340,2231168,17444,1478808,2,1.05,1.26,2.24,14,11534336,3499098112,207618048,274726912,37493
/lvm/fsa-100G-ext3,103081248,8871820,2,178,3881340,123712,17432,3592656,2,15.56,8.49,4.89,6064,12699303936,12699303936,4.06216E+11,4.06283E+11,91827476
/lvm/fsa-100G-ext3,103081248,8871820,2,178,3881340,1902568,17432,1806848,2,2.91,6.76,4.95,14,11534336,12699303936,207618048,274726912,60052
/lvm/fsa-100G-ext4,103080888,3934676,3,83,3881340,1903228,17444,1806736,2,2.76,6.66,4.93,2877,6015680512,6015680512,1.9234E+11,1.92407E+11,44984367
/lvm/fsa-100G-ext4,103080888,3934676,3,83,3881340,1902980,17444,1806856,2,1.77,5.79,4.73,14,11534336,6015680512,207618048,274726912,37836
/lvm/fsa-10G-ext3,10190136,8036744,2,11,3881340,1900372,17444,1806940,2,1.7,5.71,4.71,4274,8945401856,8945401856,2.86091E+11,2.86158E+11,72733115
/lvm/fsa-10G-ext3,10190136,8036744,2,11,3881340,1890944,17536,1810636,2,1.2,4.66,4.42,14,11534336,8945401856,207618048,274726912,37861
