index,date,open,low,high,close,open,low,high,close,vol,y-1day_high
, 2004/03/18,1134.93,1110.32,1141.81,1111.85,1134.93,1110.32,1141.81,1111.85,6869805,1130.26
, 2004/03/19,1110.44,1107.1,1130.26,1129.78,1110.44,1107.1,1130.26,1129.78,5885994,1141.81
, 2004/03/22,1130.87,1126.19,1141.81,1134.79,1130.87,1126.19,1141.81,1134.79,5093686,1134.13
, 2004/03/23,1133.99,1115.68,1134.13,1121.33,1133.99,1115.68,1134.13,1121.33,5587535,1125.06
, 2004/03/24,1120.21,1109.33,1125.06,1115.51,1120.21,1109.33,1125.06,1115.51,4800139,1126.19
, 2004/03/25,1114.75,1108.18,1126.19,1115.24,1114.75,1108.18,1126.19,1115.24,4609216,1118.72
, 2004/03/26,1115.49,1105.55,1118.72,1112.78,1115.49,1105.55,1118.72,1112.78,5394547,1115.05
, 2004/03/29,1112.28,1100.43,1115.05,1101.66,1112.28,1100.43,1115.05,1101.66,5336270,1106.01
, 2004/03/30,1100.8,1093.12,1106.01,1101.27,1100.8,1093.12,1106.01,1101.27,4158677,1113.74
, 2004/03/31,1102.29,1097.87,1113.74,1108.54,1102.29,1097.87,1113.74,1108.54,4247860,1124.25
, 2004/04/01,1109.72,1108.91,1124.25,1123.44,1109.72,1108.91,1124.25,1123.44,4682707,1133.44
, 2004/04/02,1125.36,1122.64,1133.44,1127.81,1125.36,1122.64,1133.44,1127.81,5788954,1129.81
, 2004/04/05,1128.51,1112.29,1129.81,1118.27,1128.51,1112.29,1129.81,1118.27,6259749,1124.02
, 2004/04/06,1117.89,1106.6,1124.02,1123.86,1117.89,1106.6,1124.02,1123.86,5545980,1125.63
, 2004/04/07,1124.25,1116.13,1125.63,1117.72,1124.25,1116.13,1125.63,1117.72,4669148,1118.47
, 2004/04/08,1117.12,1109.78,1118.47,1112.84,1117.12,1109.78,1118.47,1112.84,5758736,1119.15
, 2004/04/09,1113.72,1083.33,1119.15,1088.16,1113.72,1083.33,1119.15,1088.16,6921966,1087.48
, 2004/04/12,1082.45,1071.12,1087.48,1080.08,1082.45,1071.12,1087.48,1080.08,5021174,1087.32
, 2004/04/13,1081.05,1070.84,1087.32,1072.73,1081.05,1070.84,1087.32,1072.73,4958853,1074.63
